redpanda-2
=== EXPERIMENT 2: LEADER FAILOVER ===
Will kill leader (redpanda-2) after 5 seconds...

[  0] OK      |   319.3ms
[  1] OK      |     5.2ms
[  2] OK      |     3.6ms
[  3] OK      |     2.4ms
[  4] OK      |     2.2ms
[  5] OK      |     3.6ms
[  6] OK      |     4.1ms
[  7] OK      |     4.2ms
[  8] OK      |     2.4ms
[  9] OK      |     2.4ms
[ 10] OK      |     2.7ms
[ 11] OK      |     2.1ms
[ 12] OK      |     3.6ms
[ 13] OK      |     3.9ms
[ 14] OK      |     2.4ms
[ 15] OK      |     2.7ms
[ 16] OK      |     2.8ms
[ 17] OK      |     2.9ms
[ 18] OK      |     1.8ms
[ 19] OK      |     3.6ms
[ 20] OK      |     3.1ms
[ 21] OK      |     2.2ms
[ 22] OK      |     2.5ms
[ 23] OK      |     2.9ms
[ 24] OK      |     1.6ms
[ 25] OK      |     4.0ms
[ 26] OK      |     3.7ms
[ 27] OK      |     2.1ms
[ 28] OK      |     3.5ms
[ 29] OK      |     1.8ms
[ 30] OK      |     2.7ms

>>> KILLING redpanda-2 NOW <<<

[ 31] OK      |     1.9ms
[ 32] OK      |     1.7ms
[ 33] OK      |  7230.2ms
[ 34] OK      |     2.3ms
[ 35] OK      |     2.0ms
[ 36] OK      |     2.9ms
[ 37] OK      |     3.9ms
[ 38] OK      |     2.1ms
[ 39] OK      |     2.2ms
[ 40] OK      |     2.1ms
[ 41] OK      |     3.4ms
[ 42] OK      |     3.7ms
[ 43] OK      |     2.4ms
[ 44] OK      |     1.9ms
[ 45] OK      |     2.8ms
[ 46] OK      |     3.3ms
[ 47] OK      |     1.8ms
[ 48] OK      |     3.0ms
[ 49] OK      |     1.5ms
[ 50] OK      |     5.0ms
[ 51] OK      |     3.1ms
[ 52] OK      |     2.4ms
[ 53] OK      |     2.7ms
[ 54] OK      |     1.8ms
[ 55] OK      |     4.3ms
[ 56] OK      |     4.3ms
[ 57] OK      |     2.1ms
[ 58] OK      |     2.6ms
[ 59] OK      |     3.3ms
[ 60] OK      |     1.8ms
[ 61] OK      |     1.9ms
[ 62] OK      |     3.1ms
[ 63] OK      |     4.0ms
[ 64] OK      |     3.2ms
[ 65] OK      |     3.7ms
[ 66] OK      |     3.0ms
[ 67] OK      |     4.2ms
[ 68] OK      |     2.3ms
[ 69] OK      |     4.1ms
[ 70] OK      |     3.7ms
[ 71] OK      |     1.8ms
[ 72] OK      |     3.7ms
[ 73] OK      |     2.1ms
[ 74] OK      |     3.3ms
[ 75] OK      |     1.9ms
[ 76] OK      |     4.0ms
[ 77] OK      |     2.8ms
[ 78] OK      |     2.2ms
[ 79] OK      |     2.5ms
[ 80] OK      |     2.0ms
[ 81] OK      |     2.1ms
[ 82] OK      |     3.8ms
[ 83] OK      |     3.3ms
[ 84] OK      |     2.9ms
[ 85] OK      |     1.6ms
[ 86] OK      |     1.9ms
[ 87] OK      |     2.6ms
[ 88] OK      |     2.8ms
[ 89] OK      |     3.0ms
[ 90] OK      |     2.5ms
[ 91] OK      |     3.1ms
[ 92] OK      |     3.6ms
[ 93] OK      |     1.8ms
[ 94] OK      |     2.1ms
[ 95] OK      |     3.4ms
[ 96] OK      |     3.5ms
[ 97] OK      |     2.2ms
[ 98] OK      |     2.5ms
[ 99] OK      |     2.6ms
[100] OK      |     3.5ms
[101] OK      |     2.5ms
[102] OK      |     3.3ms
[103] OK      |     3.2ms
[104] OK      |     2.2ms
[105] OK      |     3.3ms
[106] OK      |     3.1ms
[107] OK      |     1.8ms
[108] OK      |     4.0ms
[109] OK      |     3.5ms
[110] OK      |     3.2ms
[111] OK      |     2.7ms
[112] OK      |     1.5ms
[113] OK      |     1.7ms
[114] OK      |     3.6ms
[115] OK      |     3.5ms
[116] OK      |     3.9ms
[117] OK      |     3.8ms
[118] OK      |     3.2ms
[119] OK      |     2.0ms
[120] OK      |     3.9ms
[121] OK      |     3.9ms
[122] OK      |     3.8ms
[123] OK      |     1.9ms
[124] OK      |     3.8ms
[125] OK      |     4.0ms
[126] OK      |     2.4ms
[127] OK      |     2.8ms
[128] OK      |     3.8ms
[129] OK      |     3.4ms
[130] OK      |     1.5ms
[131] OK      |     1.8ms
[132] OK      |     1.7ms
[133] OK      |     1.9ms
[134] OK      |     2.4ms
[135] OK      |     3.7ms
[136] OK      |     2.6ms
[137] OK      |     1.7ms
[138] OK      |     3.4ms
[139] OK      |     4.0ms
[140] OK      |     3.4ms
[141] OK      |     3.6ms
[142] OK      |     3.9ms
[143] OK      |     3.5ms
[144] OK      |     3.5ms
[145] OK      |     3.3ms
[146] OK      |     3.8ms
[147] OK      |     3.5ms
[148] OK      |     3.7ms
[149] OK      |     3.9ms

=== FAILOVER ANALYSIS ===
Total messages attempted : 150
Successful               : 150
Errors during failover   : 0
Recovered after failover : 116

Avg latency (normal)     : 13.5ms

No errors — Raft recovered within retry window

Data loss: ZERO (Raft guarantees committed writes survive)
